x y z r
0.6427133327180691 0.48284183171662415 0.3028161503311799 0.1
0.4873302735780415 0.5573553960574301 0.4930215154154203 0.1
0.38221065612400285 0.29476238524212556 0.6570091955229304 0.1
0.43538382131120434 0.7262023091316223 0.7212808481663034 0.1
0.4452585837115412 0.40358594189519464 0.7256095958972596 0.1
0.5202463439532689 0.16069954953023363 0.266393403556978 0.1
0.35073741277058923 0.641298022535112 0.6008074561821352 0.1
0.4828728623688221 0.8629485554993153 0.3902568186442116 0.1
0.5756516456604004 0.3322187349909827 0.2236619319221661 0.1
0.8260211125016212 0.411653745919466 0.5947532950321055 0.1
0.5990272383940848 0.5621696930182608 0.26018028477042315 0.1
0.36772478085297805 0.41154864888924814 0.7280098040409514 0.1
0.34095226393805617 0.540024150300909 0.6352781025804525 0.1
0.48778322025349263 0.6606202031436719 0.4408174374247501 0.1
0.49025654160615173 0.4500936594876375 0.3515211482368374 0.1
0.4429804113778201 0.18302674320611084 0.6818383473911204 0.1
0.4219659410024944 0.6254352927207946 0.7032400226561617 0.1
0.6047201366985546 0.44275759423480315 0.20809622741954473 0.1
0.35449447998633754 0.7555380371900705 0.6772602706033478 0.1
0.4147306587547064 0.5340992733836174 0.7054233651109331 0.1
0.5397835075855255 0.6500485800206661 0.25508870284345125 0.1
0.4659091015656789 0.4747422138849894 0.31093903735108336 0.1
0.5405619621276855 0.49691185951232913 0.30188971698537836 0.1
0.6474365182220936 0.5765927992761135 0.2449681776280633 0.1
0.3651932151544662 0.449292927980423 0.5727955121512932 0.1
0.6685005976603582 0.5171724053529593 0.5517618785576919 0.1
